서울특별시의회 회의록 제277회[정례회] (2017.11.01 ~ 2017.12.20)
이것이 학교폭력예방 및 대책에 관한 법률
수 있다 이런 생각을 해요. 이것은 법률
나 제3의 국무회의를 통해서 이것은 법률
고요. 얼마 전에 4개 교육지원청에 법률
 마치 해도 되는 것처럼 현장에서는 법률
난번에 공익제보자 신분 보호에 관한 법률
가를 대상으로 하는 계약사무에 관한 법률
청을 했을 때 거부할 수 있는 그런 법률
"다. 그러니까 의원면직된 거잖아요, 법률"
" 등 18건, 소송수행비용 10건, 법률"
49건의 심사청구를 처리하였습니다. 법률
", 본 사업의 적극적인 홍보를 통해 법률"
"료 지원 18건, 소송비용 10건, 법률"
"한 것과 소송수행비용 관련 2건만, 법률"
"다, 그래서 그 부분에 대해서 다른 법률"
지방자치단체의 출연기관 운영에 관한 법률
"한 조례가 서울시교육청에 있습니까, 법률"
확히 모르지만 출연기관 운영에 관한 법률
민법이나 공익법인 설립 운영에 관한 법률
 되겠다 이런 게 있었습니다. 그게 법률
도 아닙니다. 출연기관 운영에 관한 법률
 국가를 당사자로 하는 계약에 관한 법률
를 할 수가 없는 거예요. 기본적인 법률
거기에 가족 간 거래를 했다는 것은 법률
 국가를 당사자로 하는 계약에 관한 법률
습니다. 그렇기 때문에……. 그러면 법률
" 거네요? 네, 그렇습니다. 명백한 법률"
과에 충분히 의사전달을 해서 그것은 법률
니다. 학교폭력예방 및 대책에 관한 법률
 보는 사안 중의 하나인데 지난번에 법률
"사실 아이들 같은 경우는, 학생들은 법률"
거고 저희 서울 학교안전공제회에서는 법률
치단체를 당사자로 하는 계약에 관한 법률
경우에는 지방자치단체의 계약에 관한 법률
 국가를 당사자로 하는 계약에 관한 법률
원님께서 가족과의 내부거래는 명백한 법률
"하여 컨설팅을 지원하였고, 전문적인 법률"
교육환경보호위원회가 올해 2월 4일 법률
니까 올해 2월 4일 상당히 강화된 법률
사교육을 줄이자 줄이자 하면서 이런 법률
없잖아요. 교묘하게 이용할 수 있는 법률
……. 그러면 출자ㆍ출연기관에 관한 법률
"기관이라고 생각하십니까, 지금 현행 법률"
년에 지방자치단체 출자ㆍ출연에 관한 법률
이에요. 교육감 출연기관이라는 것이 법률
? 국장님 답변해 주시기 바랍니다. 법률
됩니다. 만약에 이 기관이 교육감의 법률
 하면서 이렇게 됐는데 최근에 그런 법률
가 필요할 경우 보조금 지급에 관한 법률
땅치 않고요. 출자ㆍ출연기관에 관한 법률
 하셨더라고요. 이런 경우에는 현행 법률
 협의해서 하도록 하겠습니다. 제가 법률
게 나와 있나요? 저희가 대안학교의 법률
그 관계에 대해서 계속 질의할 것은 법률
 법적근거 없는 임의출연기관은 관련 법률
"를 운영하고 있으며, 교육활동 보호 법률"
5명을 위촉하여 피해교원을 대상으로 법률
지요? 아동ㆍ청소년의 성보호에 관한 법률
지 않다는 이유로 교육부에서 그것의 법률
" 의견인데, 하여튼 교육부 쪽에서는 법률"
는 것은 그 사건이 났을 때 그분을 법률
고요. 지금 현재 여러 국회의원들이 법률
모에게 과태료를 하는 거라든지 이런 법률
 교육부 훈령은 2017년 2월까지 법률
을 했고요. 최근에 그것을 파악해서 법률
시오. 아까 말씀드리다 말았습니다만 법률
동안은 그것을 유지해야 된다는 그런 법률
 대해서 교육청이 할 수 있는 것은 법률
강하게 보고 하도록 할 예정입니다. 법률
 않았는데 서울시교육청이 합법이라는 법률
얼마나 증액을 했는지 인상을 했는지 법률
