서울특별시의회 회의록 제303회[정례회](2021.11.01 ~ 2021.12.27)
수 있다고 봐요. 우리 교육환경보호 법률
교육환경보호 법률 있잖아요. 그러한 법률
신중해야 된다고 생각합니다. 특히나 법률
"고 신축이라는 말을 넣어라, 개축의 법률"
"용어를 써야 한다고요, 그 용어를. 법률"
 일부 반영하려고 했지만 조례 관련 법률
회 말고 예를 들어서 규정상에 없는 법률
기 때문에 꼭 공개를 해야 됩니다. 법률
 고용부담금을 납부하게 돼 있다 이 법률
 교육감의 부담금 납부에 관한 특례 법률
잖아. 그렇죠? 지방교육자치에 관한 법률
 정부에서 일을 하면서 어떤 일이든 법률
" 급식법은 일단 개정이 됐고, 그게 법률"
 지금 안 맞는 거예요. 결과적으로 법률
서는 교육부를 통해서 적극적으로 이 법률
다 알고 있어요. 그럼에도 불구하고 법률
이 학교지 않습니까? 말은 학교인데 법률
서 2월에 배포했습니다. 그리고 교육법률
다. 그리고 교육법률지원단 운영으로 법률
"라면 교육청에서 바로잡는 게 맞고, 법률"
원의 설립ㆍ운영 및 과외교습에 관한 법률
등을 식품위생법상 관리할 수 있도록 법률
요 한번 검토해 보도록 하겠습니다. 법률
지 않습니까. 법규로는 정해져 있고 법률
지에서 과장님께 질문드리는 겁니다. 법률
우리 교육청하고 혼선이 좀 있어요. 법률
진행상황 그리고 향후일정이라든지 또 법률
"이 지방자치법, 지방교육자치에 관한 법률"
실은 지금부터 2년 전에도 국회에서 법률
 없더라고요. 교육환경 보호에 관한 법률
행 등에 대한 특별감사가 있었고요. 법률
실시된 특별감사는 감사 실시를 위한 법률
장이 제기되었습니다. 감사에 명확한 법률
행 등에 대한 특별감사가 있었고 또 법률
 학교안전사고 예방 및 보상에 관한 법률
 받아야 되는지 그거에 대해서는 좀 법률
 이 조직이 감사업무에 관한 뚜렷한 법률
 있기 때문에 감사 문제에서도 그런 법률
치단체를 당사자로 하는 계약에 관한 법률
필요하고 공공기관의 정보공개에 관한 법률
으로 했습니다. 물론 여기에는 관련 법률
까 서울교육청하고 의견이 다릅니다. 법률
 차원의 감사한 게 적법한지 아닌지 법률
다. 지금 안전공제회 이사장님께서는 법률
렇게 하세요. 우리 본청 차원에서도 법률
공제회를 감사한 게 적법한지 아닌지 법률
 안전공제회에서도 받으십시오. 네. 법률
 우리사회에서 배려해야 되는 존재고 법률
존재고 법률로도 장애인 보장에 관한 법률
의시설을 설치해야 한다 이렇게 관련 법률
수ㆍ분뇨 및 축산폐수의 처리에 관한 법률
수ㆍ분뇨 및 축산폐수의 처리에 관한 법률
 사회의 헌법 정신을 구현하는 것은 법률
 정신을 구현하는 것은 법률입니다. 법률
의해서 얘기를 들은 것 같은데 제가 법률
률자문 의뢰를 요청했습니다. 그래서 법률
