서울특별시의회 회의록 제290회[정례회] (2019.11.01 ~ 2019.12.20)
 등의 관리법은 지방교육자치에 관한 법률
석하실지 안 하실지 모르겠지만 모든 법률
 요즘의 학부모들이 책자를 찾아보고 법률
"수 있는 여건이 지금 되나요, 지금 법률"
렇게 하셨는데요. 우리 감사담당관님 법률
제대로 진행될 수 있을까요? 그래서 법률
" 우리 담당관님께 한번 여쭤봅니다, 법률"
 따라서 공공기관의 정보공개에 관한 법률
경우에 국가유공자 지원에 관한 각종 법률
은 부분에 대해서는 제가 잠시 후에 법률
 거쳐 교장 임용 가능한 것이 어떤 법률
"위법입니까? 아니, 그러니까 교육부 법률"
"? 그게 법적인 사항입니까? 아니, 법률"
드 가맹의무 사업자가 아니어가지고요 법률
하는 자료에는 개인정보 보호에 관한 법률
 이 있음) 산업안전보건법에 의하면 법률
 학교안전사고 예방 및 보상에 관한 법률
 국ㆍ과장을 했을 가능성도 있고요. 법률
"습니다, 2월 말까지요. 그 자세한 법률"
조항을 보니까 교육환경 보호에 관한 법률
대한 내용 이런 것들을 가지고 계속 법률
실은 모든 사안에 대해서 어느 정도 법률
 대로 체육시설의 설치ㆍ이용에 관한 법률
 여러 위원님들께서도 질의를 했지만 법률
보호법인가요? 교육환경 보호에 관한 법률
들었는데 사실 교육환경 보호에 관한 법률
"습니다, 전혀 그게 아니다, 당연히 법률"
쭤보겠는데요. 교육환경 보호에 관한 법률
법원에서 유사수신행위의 규제에 관한 법률
우리 학교안전공제회 설립 근거기준의 법률
 학교안전사고 예방 및 보상에 관한 법률
" 법률이지요. 네, 그렇습니다. 그 법률"
있어요. 뭔지 아시겠죠? 그리고 이 법률
 학교안전사고 예방 및 보상에 관한 법률
러 가지 공제 보상의 기준이라는 게 법률
님 말씀 취지는 알겠습니다만 그 두 법률
아주지 않고 있고요. 학교용지 확보 법률
겠습니다. 지금 교육청에서 나름대로 법률
"가 어려운 부분이 있습니다. 아니, 법률"
법인입니다. 그래서 그쪽에서 관련된 법률
 있고요. 시도교육감 협의를 통해서 법률
받으시고 어떤 느낌 드셨어요? 일단 법률
