회수,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),강서,25.0
제303회[정례회](2021.11.01 ~ 2021.12.27),양천,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),강남,17.0
제303회[정례회](2021.11.01 ~ 2021.12.27),서초,12.0
제303회[정례회](2021.11.01 ~ 2021.12.27),유인숙,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),동작,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),관악,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),강연,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),광진,24.0
제303회[정례회](2021.11.01 ~ 2021.12.27),최규애,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),성북,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),강북,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),직속,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),미원,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),방역,24.0
제303회[정례회](2021.11.01 ~ 2021.12.27),일상,12.0
제303회[정례회](2021.11.01 ~ 2021.12.27),공존,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),변곡점,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),맞이,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),등교,21.0
제303회[정례회](2021.11.01 ~ 2021.12.27),제로,14.0
제303회[정례회](2021.11.01 ~ 2021.12.27),전인,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),본질,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),상생,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),소명,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기적,10.0
제303회[정례회](2021.11.01 ~ 2021.12.27),중장,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),관점,15.0
제303회[정례회](2021.11.01 ~ 2021.12.27),이처럼,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),예측,19.0
제303회[정례회](2021.11.01 ~ 2021.12.27),선제,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),다각,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),첫째,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),고비,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),맥락,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),명의,16.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교직원,65.0
제303회[정례회](2021.11.01 ~ 2021.12.27),예방접종,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),적기,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교육활동,19.0
제303회[정례회](2021.11.01 ~ 2021.12.27),둘째,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부각,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),결손,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정서,25.0
제303회[정례회](2021.11.01 ~ 2021.12.27),심리,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),결핍,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),자율,33.0
제303회[정례회](2021.11.01 ~ 2021.12.27),자발,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),멘토,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),담임,31.0
제303회[정례회](2021.11.01 ~ 2021.12.27),습관,18.0
제303회[정례회](2021.11.01 ~ 2021.12.27),복원,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),측면,87.0
제303회[정례회](2021.11.01 ~ 2021.12.27),복지,55.0
제303회[정례회](2021.11.01 ~ 2021.12.27),후견,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),인제,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),소외,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),인공,11.0
제303회[정례회](2021.11.01 ~ 2021.12.27),지능,15.0
제303회[정례회](2021.11.01 ~ 2021.12.27),개별,25.0
제303회[정례회](2021.11.01 ~ 2021.12.27),보편화,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),실시간,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),원격,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),무선,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),인프라,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),교사,272.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학부모,174.0
제303회[정례회](2021.11.01 ~ 2021.12.27),스마트,148.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기기,30.0
제303회[정례회](2021.11.01 ~ 2021.12.27),디벗,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),취약,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),계층,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),튜터링,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),가능성,9.0
제303회[정례회](2021.11.01 ~ 2021.12.27),마음껏,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),넷째,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),보편,18.0
제303회[정례회](2021.11.01 ~ 2021.12.27),결실,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),급식,174.0
제303회[정례회](2021.11.01 ~ 2021.12.27),표준화,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),수혜,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),개개인,9.0
제303회[정례회](2021.11.01 ~ 2021.12.27),생존,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초점,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),복지로,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),격차,42.0
제303회[정례회](2021.11.01 ~ 2021.12.27),필요성,18.0
제303회[정례회](2021.11.01 ~ 2021.12.27),막중,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),절감,13.0
제303회[정례회](2021.11.01 ~ 2021.12.27),무상급식,15.0
제303회[정례회](2021.11.01 ~ 2021.12.27),채식,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부응,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),체적,10.0
제303회[정례회](2021.11.01 ~ 2021.12.27),입체,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),후견인,13.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초석,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),실질,59.0
제303회[정례회](2021.11.01 ~ 2021.12.27),안착,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),선행,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),지탱,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),근원,2.0
제303회[정례회](2021.11.01 ~ 2021.12.27),일관,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),활성화,13.0
제303회[정례회](2021.11.01 ~ 2021.12.27),실화,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),자율성,12.0
제303회[정례회](2021.11.01 ~ 2021.12.27),뺄셈,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),존중,21.0
제303회[정례회](2021.11.01 ~ 2021.12.27),지고,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),간의,14.0
제303회[정례회](2021.11.01 ~ 2021.12.27),잠재,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),방향성,3.0
제303회[정례회](2021.11.01 ~ 2021.12.27),상상력,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),집단지성,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),발휘,9.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대유행,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),한번,308.0
제303회[정례회](2021.11.01 ~ 2021.12.27),수고,164.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부로,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),순서,11.0
제303회[정례회](2021.11.01 ~ 2021.12.27),대체,10.0
