회수,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),의석,21.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정돈,22.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),존경,66.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),안녕하십니까,23.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),의정,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),노고,12.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),참으로,15.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),조희연,43.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),비롯,24.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서도,92.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),사무,166.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사,1031.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),수감,22.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),수고,227.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정례,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육지원청,300.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산안,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),조례,140.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),효율,54.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),청과,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),별로,170.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),지방자치법,21.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울특별시,89.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),앞서,31.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),말씀,1300.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정,130.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),차기,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),로서,57.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),지향,15.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),구현,17.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위함,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),방어,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),자세,16.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),대응,57.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),임해,13.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),발상,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),스스로,24.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),열매,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),먼저,136.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),선행,14.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),일련,12.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),형태,126.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),회계,87.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),비리,89.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),약자,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),복무,30.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),요원,54.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교사,384.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),폭행,16.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),일도,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),특성화고,109.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),노래,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),천만,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유감,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),사태,46.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),심각,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),직시,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),사후,42.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),땜질,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),처방,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),뿌리,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),각오,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),더욱,36.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),원님,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),제대로,189.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),오신,21.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),문제점,88.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),기탄,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),소기,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),선서,34.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서류,77.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),자가,11.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정해진,10.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),기한,11.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),증인,41.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),증언,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과태료,24.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),부과,26.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위증,10.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서면,23.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),답변,366.0
