회수,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),주시,223.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),걸음,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),밑거름,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),깊이,19.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),나은,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서두,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),김원,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성연,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),강연,14.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),백정,21.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생,157.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정해철,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),김현철,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),이민,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),이연주,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),무과,22.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민호,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),안전,497.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),예산,519.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),김중락,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),박은경,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),허일,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사,38.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),이종,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),필순,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육,129.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),초등교육,59.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),이화성,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육,31.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),엄동,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육,85.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정영철,12.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조용훈,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),이병호,12.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),강영숙,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정,19.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),김재환,19.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육장,177.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),박혜자,11.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유재준,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),선종,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),북부,14.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),병화,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중부,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),강동,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),송파,11.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),심금,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),강서,28.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),양천,18.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),이윤복,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),강남,28.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서초,13.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동작,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),관악,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),김종화,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),광진,33.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),나용,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),강북,12.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),직속,40.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),송재,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),아시,35.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),산업혁명,15.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),도전,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),직면,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),수동,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),선제,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),능동,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),창의성,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),다양성,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),어울림,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),첫째,16.0
