회수,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),의석,21.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정돈,21.0
제298회[정례회](2020.11.02 ~ 2020.12.22),존경,67.0
제298회[정례회](2020.11.02 ~ 2020.12.22),안녕하십니까,12.0
제298회[정례회](2020.11.02 ~ 2020.12.22),의정,13.0
제298회[정례회](2020.11.02 ~ 2020.12.22),노고,13.0
제298회[정례회](2020.11.02 ~ 2020.12.22),조희연,22.0
제298회[정례회](2020.11.02 ~ 2020.12.22),비롯,11.0
제298회[정례회](2020.11.02 ~ 2020.12.22),서도,49.0
제298회[정례회](2020.11.02 ~ 2020.12.22),사무,138.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사,506.0
제298회[정례회](2020.11.02 ~ 2020.12.22),수감,24.0
제298회[정례회](2020.11.02 ~ 2020.12.22),수고,185.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정례,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육지원청,86.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정보원,32.0
제298회[정례회](2020.11.02 ~ 2020.12.22),예산안,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),조례,88.0
제298회[정례회](2020.11.02 ~ 2020.12.22),효율,48.0
제298회[정례회](2020.11.02 ~ 2020.12.22),청과,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),별로,105.0
제298회[정례회](2020.11.02 ~ 2020.12.22),지방자치법,25.0
제298회[정례회](2020.11.02 ~ 2020.12.22),서울특별시,65.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무,26.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정실,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),앞서,23.0
제298회[정례회](2020.11.02 ~ 2020.12.22),말씀,1052.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정,85.0
제298회[정례회](2020.11.02 ~ 2020.12.22),로서,40.0
제298회[정례회](2020.11.02 ~ 2020.12.22),지향,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),구현,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위함,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),대하,18.0
제298회[정례회](2020.11.02 ~ 2020.12.22),방어,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),자세,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),대응,61.0
제298회[정례회](2020.11.02 ~ 2020.12.22),임해,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),소기,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),먼저,115.0
제298회[정례회](2020.11.02 ~ 2020.12.22),선서,29.0
제298회[정례회](2020.11.02 ~ 2020.12.22),서류,24.0
제298회[정례회](2020.11.02 ~ 2020.12.22),자가,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정해진,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기한,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),증인,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),증언,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과태료,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부과,11.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위증,12.0
제298회[정례회](2020.11.02 ~ 2020.12.22),서면,20.0
제298회[정례회](2020.11.02 ~ 2020.12.22),답변,230.0
제298회[정례회](2020.11.02 ~ 2020.12.22),거짓,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),오른손,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),서문,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),낭독,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기립,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),서명,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),날인,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),직접,84.0
제298회[정례회](2020.11.02 ~ 2020.12.22),본인,35.0
제298회[정례회](2020.11.02 ~ 2020.12.22),소관,80.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양심,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),보탬,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),그대로,54.0
제298회[정례회](2020.11.02 ~ 2020.12.22),맹세,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),간부,27.0
제298회[정례회](2020.11.02 ~ 2020.12.22),소개,21.0
제298회[정례회](2020.11.02 ~ 2020.12.22),불구,126.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김용연,63.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위,90.0
제298회[정례회](2020.11.02 ~ 2020.12.22),병주,38.0
