회수,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),지방자치법,25.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학폭법,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교법,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),합법,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),불법,52.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),신법,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),위법,23.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),초ㆍ중등교육법,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),아동복지법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),초중등교육법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),관리법,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),헌법,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),국가공무원법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),형법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),방법,119.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생배정방법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),형사법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),사학법,17.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),수업방법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),근거법,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),지방공무원법,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교급식법,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),관련법,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),입법,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),계약방법,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),사립법,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),해결방법,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),김영란법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),양성평등기본법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),사단법,15.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),보호법,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),사립학교법,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),사법,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),개인정보보호법,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교원지위법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),탐구방법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),연수방법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),도로교통법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),질의방법,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),적법,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조사방법,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대법,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),운영방법,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),편법,14.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육공무원법,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),공무원법,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),상위법,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),국가법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평가방법,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정보통신법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육법,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),이분법,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),윤창호법,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),소득세법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),산업안전보건법,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),안전보건법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),같은법,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교폭력예방법,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),해법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육환경법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),예방법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),하위법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기본법,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),특수교육법,2.0
