조례,빈도
서울특별시의회 행정사무감사 및 조사에 관한 조례,14
학교 도서관 운영 조례,4
서울특별시교육청 학생 도박 예방교육 조례,3
교육경비 보조에 관한 조례,3
서울특별시 혁신학교 조례,1
학교환경교육 진흥 조례,1
서울특별시교육청 자살예방 및 생명존중문화 조성을 위한 조례,1
서울특별시립학교 시설의 개방 및 이용에 관한 조례 ,1
서울특별시교육청 학교협동조합 지원 및 육성에 관한 조례,1
