조례,빈도
행정사무감사 및 조사에 관한 조례,14
학생 인권 조례,9
서울특별시교육청 행정기구 설치 조례,5
학교 학부모회 조례,4
서울특별시립학교 시설의 개방 및 이용에 관한 조례,3
서울특별시 양천구 국어 사랑 조례,3
서울특별시립학교 운영위원회 구성 및 운영 등에 관한 조례,2
서울특별시교육청 업무추진비 집행기준 및 공개에 관한 조례,2
"서울특별시 학원 설립, 운영 및 과외교습에 관한 조례",2
공무원 정원 조례,2
정책실명제 운영 조례,2
취업지원센터 설치 및 운영 조례,1
민간위탁 조례,1
민간단체 지원 조례,1
서울특별시교육청 다문화교육 진흥 조례,1
공공시설의 개방 및 이용에 관한 조례,1
공유재산 관리 조례,1
체육시설 이용 및 운영에 관한 조례,1
서울특별시교육청 정보화 추진에 관한 조례,1
