조례 ,빈도
서울특별시의회 행정사무감사 및 조사에 관한 조례,16
서울특별시교육감 행정권한의 위임에 관한 조례,8
서울특별시 교육경비보조에 관한 조례,4
서울특별시교육감 소속 지방공무원 겸임수당 지급 조례,4
학생인권조례,3
서울특별시교육청 장학생 선발 및 관리에 관한 조례,2
"서울특별시 학원 설립, 운영 및 과외교습에 관한 조례",2
공익제보 보호 및 지원에 관한 조례,2
서울특별시교육청 업무추진비 집행기준 및 공개에 관한 조례,1
서울특별시교육청 공익제보 지원 및 보호에 관한 조례,1
서울특별시교육청 행정기구 설치 조례,1
서울특별시 대안교육기관 지원 조례,1
서울특별시 자원봉사활동 지원 조례,1
시설물 안전 및 유지관리에 관한 조례,1
공유재산 관리조례,1
서울특별시교육청 특수학급 설치 및 지원에 관한 조례,1
서울특별시립학교 시설의 개방 및 이용에 관한 조례,1
서울특별시교육비특별회계 소관 공유재산 관리 조례,1
