조례,빈도
서울특별시의회 행정사무감사 및 조사에 관한 조례,12
학생인권조례,6
"서울특별시교육청 학교, 학생 행복 조례",3
서울특별시교육청 화장실 관리 조례,3
서울특별시교육청 학교홈페이지 운영 활성화 지원 조례,2
서울특별시교육청 학교 기숙사 운영에 관한 조례,2
서울특별시의회 기본 조례,2
서울특별시교육청 일본 제국주의 상징물의 사용 제한에 관한 조례,1
서울특별시교육청 학생선수 학습권 보장 및 인권보호 조례,1
서울특별시교육청 특수학급 설치 및 지원에 관한 조례,1
서울특별시교육청 지식재산교육에 관한 조례,1
서울특별시교육청 장학생 선발 및 관리에 관한 조례,1
