이름,자치구,빈도
교육감 조희연,강서구,1
교육감 조희연,중랑구,1
교육감 조희연,중구,1
양민규 위원,영등포구,3
양민규 위원,도봉구,3
양민규 위원,관악구,1
양민규 위원,노원구,1
황인구 위원,도봉구,4
황인구 위원,강동구,8
황인구 위원,동작구,7
과학전시관장 이화성,중랑구,2
과학전시관장 이화성,관악구,5
과학전시관장 이화성,구로구,2
권순선 위원,은평구,2
이동현 위원,중구,4
이동현 위원,성동구,14
이동현 위원,강북구,1
교육행정국장 손영순,영등포구,1
교육행정국장 손영순,송파구,2
이석주 위원,마포구,1
이석주 위원,용산구,1
김용연 위원,강서구,1
김용연 위원,동작구,2
김상진 위원,중구,1
김상진 위원,강북구,1
김상진 위원,송파구,2
부교육감 김영철,성북구,2
이호대 위원,구로구,1
동작관악교육지원청장 최춘옥,관악구,1
동작관악교육지원청장 최춘옥,동작구,4
