이름,자치구,빈도
양민규 위원,동작구,5
양민규 위원,구로구,1
양민규 위원,영등포구,1
기획조정실장 권성연,서초구,1
강서양천교육지원청교육장 심금순,양천구,1
성북강북교육지원청교육장 장석진,강북구,1
성북강북교육지원청교육장 장석진,성북구,1
황인구 위원,동작구,32
황인구 위원,강동구,2
황인구 위원,종로구,2
황인구 위원,도봉구,1
부교육감 김원찬,동작구,1
장상기 위원,동작구,3
장상기 위원,강서구,1
장상기 위원,마포구,2
장상기 위원,금천구,1
전병주 위원,동작구,1
전병주 위원,마포구,1
전병주 위원,송파구,1
전병주 위원,광진구,1
과학전시관장 한봉희,구로구,1
과학전시관장 한봉희,금천구,1
과학전시관장 한봉희,관악구,1
유아교육과장 정혜손,성북구,1
유아교육과장 정혜손,강서구,1
여명 위원,은평구,1
조상호 위원,도봉구,1
조상호 위원,강서구,1
조상호 위원,금천구,2
조상호 위원,광진구,3
조상호 위원,서대문구,1
초등교육과장 민계홍,구로구,2
초등교육과장 민계홍,도봉구,1
초등교육과장 민계홍,성동구,1
최기찬 위원,영등포구,1
최기찬 위원,마포구,1
최기찬 위원,금천구,8
최기찬 위원,은평구,1
최기찬 위원,서대문구,1
최기찬 위원,강남구,1
최기찬 위원,동대문구,1
최기찬 위원,중랑구,1
교육정책국장 박건호,강서구,1
김수규 위원,동대문구,3
정독도서관장 백종대,종로구,2
권순선 위원,종로구,1
권순선 위원,은평구,4
김경 위원,양천구,1
김경 위원,성북구,1
김경 위원,송파구,1
김경 위원,노원구,1
채유미 위원,영등포구,1
채유미 위원,양천구,1
채유미 위원,마포구,1
채유미 위원,금천구,1
채유미 위원,성동구,1
채유미 위원,동대문구,1
채유미 위원,중랑구,2
채유미 위원,노원구,5
채유미 위원,용산구,1
채유미 위원,중구,1
평생진로교육국장 박혜자,서대문구,1
평생진로교육국장 박혜자,노원구,1
위원장 장인홍,구로구,1
위원장 장인홍,서초구,1
위원장 장인홍,종로구,1
위원장 장인홍,중구,1
교육행정국장 장석윤,동작구,4
교육행정국장 장석윤,서초구,1
교육행정국장 장석윤,도봉구,3
교육행정국장 장석윤,강서구,1
교육행정국장 장석윤,광진구,1
교육행정국장 장석윤,중랑구,3
서울상도어린이집원장 김광미,동작구,1
최선 위원,강북구,1
최선 위원,성북구,1
