이름,자치구,빈도
최기찬 위원,금천구,1
최기찬 위원,광진구,1
최기찬 위원,구로구,3
전병주 위원,광진구,7
전병주 위원,서초구,1
전병주 위원,중랑구,8
황인구 위원,금천구,1
황인구 위원,강동구,1
황인구 위원,노원구,1
강서양천교육지원청교육장 심금순,강서구,1
양민규 위원,금천구,1
양민규 위원,구로구,1
양민규 위원,강서구,2
양민규 위원,영등포구,3
양민규 위원,강남구,2
남부교육지원청교육장 김재환,금천구,1
남부교육지원청교육장 김재환,구로구,1
남부교육지원청교육장 김재환,영등포구,2
채유미 위원,금천구,2
채유미 위원,중랑구,4
채유미 위원,노원구,9
채유미 위원,영등포구,2
채유미 위원,중구,4
채유미 위원,도봉구,2
채유미 위원,동대문구,2
채유미 위원,성동구,2
채유미 위원,양천구,2
채유미 위원,용산구,2
채유미 위원,관악구,2
과학전시관장 김종희,금천구,1
과학전시관장 김종희,구로구,2
과학전시관장 김종희,중랑구,1
과학전시관장 김종희,중구,1
과학전시관장 김종희,관악구,2
장상기 위원,광진구,5
장상기 위원,강동구,1
장상기 위원,노원구,1
장상기 위원,강서구,5
장상기 위원,성동구,11
서울장안초등학교장 탁현주,광진구,2
서울장안초등학교장 탁현주,강서구,1
위원장 장인홍,광진구,2
위원장 장인홍,중랑구,7
위원장 장인홍,용산구,1
최선 위원,관악구,1
최선 위원,강북구,1
교육혁신과장 이종탁,중랑구,1
마포평생학습관장 이숙자,마포구,1
정독도서관장 장석윤,종로구,1
평생진로교육국장 백정흠,광진구,1
평생진로교육국장 백정흠,구로구,2
평생진로교육국장 백정흠,은평구,1
권순선 위원,금천구,1
권순선 위원,구로구,2
권순선 위원,영등포구,1
권순선 위원,강남구,1
권순선 위원,중구,1
권순선 위원,은평구,3
민주시민생활교육과장 정영철,금천구,1
민주시민생활교육과장 정영철,구로구,1
민주시민생활교육과장 정영철,은평구,1
조상호 위원,중랑구,1
조상호 위원,중구,1
부교육감 김원찬,강북구,1
교육행정국장 정해철,금천구,1
교육행정국장 정해철,중랑구,8
교육행정국장 정해철,영등포구,1
교육행정국장 정해철,중구,1
교육행정국장 정해철,성동구,1
교육행정국장 정해철,양천구,1
교육행정국장 정해철,용산구,1
교육행정국장 정해철,강북구,2
학교지원과장 이병호,금천구,1
학교지원과장 이병호,서초구,1
학교지원과장 이병호,중랑구,1
학교지원과장 이병호,동대문구,1
