회수,발언자,발언수
제277회[정례회] (2017.11.01 ~ 2017.12.20),장인홍 위원,814
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자(양천),697
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,552
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,448
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,383
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,354
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생진로교육국장 박혜자,314
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,309
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,278
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,276
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,255
제277회[정례회] (2017.11.01 ~ 2017.12.20),감사관 이민종,252
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육감 조희연,232
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,192
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,189
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,180
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,153
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,148
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,145
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,141
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,116
제277회[정례회] (2017.11.01 ~ 2017.12.20),기획조정실장 정병익,106
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,105
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,90
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,79
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,76
제277회[정례회] (2017.11.01 ~ 2017.12.20),체육건강과장 안재홍,75
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,73
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회이사장 김형태,64
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,58
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육과장 정혜손,57
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,54
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,49
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,47
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,42
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,41
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,35
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,35
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,33
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 송재형,33
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,31
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,30
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연수원장 이종배,29
제277회[정례회] (2017.11.01 ~ 2017.12.20),대변인 이상수,26
제277회[정례회] (2017.11.01 ~ 2017.12.20),민주시민교육과장 임세훈,25
제277회[정례회] (2017.11.01 ~ 2017.12.20),김진수 위원,24
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육지원국장 유재준,22
제277회[정례회] (2017.11.01 ~ 2017.12.20),서부교육지원청교육장 이용환,21
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생교육원장 김시영,21
제277회[정례회] (2017.11.01 ~ 2017.12.20),동부교육지원청교육장 윤석명,20
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육혁신과장 전병화,19
제277회[정례회] (2017.11.01 ~ 2017.12.20),과학전시관장 김선주,16
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회사무국장 이무수,16
제277회[정례회] (2017.11.01 ~ 2017.12.20),예산담당관 황현택,15
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청교육장 김병혁,12
제277회[정례회] (2017.11.01 ~ 2017.12.20),마포평생학습관장 이연주,12
제277회[정례회] (2017.11.01 ~ 2017.12.20),북부교육지원청교육장 정인순,10
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교보건진흥원장 박연선,10
제277회[정례회] (2017.11.01 ~ 2017.12.20),영등포평생학습관장 김석일,9
제277회[정례회] (2017.11.01 ~ 2017.12.20),직무감사팀장 임영식,8
