회수,발언자,발언수
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,831
제290회[정례회] (2019.11.01 ~ 2019.12.20),위원장 장인홍,795
제290회[정례회] (2019.11.01 ~ 2019.12.20),권순선 위원,720
제290회[정례회] (2019.11.01 ~ 2019.12.20),장상기 위원,656
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,640
제290회[정례회] (2019.11.01 ~ 2019.12.20),김경 위원,635
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,589
제290회[정례회] (2019.11.01 ~ 2019.12.20),채유미 위원,587
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,529
제290회[정례회] (2019.11.01 ~ 2019.12.20),황인구 위원,514
제290회[정례회] (2019.11.01 ~ 2019.12.20),최선 위원,504
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육감 조희연,455
제290회[정례회] (2019.11.01 ~ 2019.12.20),양민규 위원,356
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,319
제290회[정례회] (2019.11.01 ~ 2019.12.20),김수규 위원,280
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,262
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,242
제290회[정례회] (2019.11.01 ~ 2019.12.20),감사관 이민종,239
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,216
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,212
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,207
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,175
제290회[정례회] (2019.11.01 ~ 2019.12.20),총무과장 이연주,131
제290회[정례회] (2019.11.01 ~ 2019.12.20),전병주 위원,130
제290회[정례회] (2019.11.01 ~ 2019.12.20),초등교육과장 민계홍,120
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,106
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,98
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,97
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,95
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,82
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,79
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,76
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,75
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,70
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,69
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,65
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,62
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,57
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,50
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,44
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,43
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,36
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,35
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,34
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,32
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,28
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생교육원장 손창호,23
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,23
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,18
제290회[정례회] (2019.11.01 ~ 2019.12.20),행정관리담당관 김중락,14
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,14
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육혁신과장 이종탁,10
제290회[정례회] (2019.11.01 ~ 2019.12.20),진로직업교육과장 신승인,10
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,10
제290회[정례회] (2019.11.01 ~ 2019.12.20),정책·안전기획관 한민호,10
제290회[정례회] (2019.11.01 ~ 2019.12.20),북부교육지원청교육장 선종복,8
제290회[정례회] (2019.11.01 ~ 2019.12.20),강서양천교육지원청교육장 심금순,8
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,6
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,6
제290회[정례회] (2019.11.01 ~ 2019.12.20),중부교육지원청교육장 전병화,4
제290회[정례회] (2019.11.01 ~ 2019.12.20),서부교육지원청교육장 유재준,3
제290회[정례회] (2019.11.01 ~ 2019.12.20),수석전문위원 김창범,2
제290회[정례회] (2019.11.01 ~ 2019.12.20),예산담당관 오동훈,1
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,1
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육지원국장 성철,1
제290회[정례회] (2019.11.01 ~ 2019.12.20),강남서초교육지원청교육장 이윤복,1
