서울특별시의회 회의록 제290회[정례회] (2019.11.01 ~ 2019.12.20)
감사 이후에는 2020년도 예산안과 조례
시의회 행정사무감사 및 조사에 관한 조례
시의회 행정사무감사 및 조사에 관한 조례
특별시교육감 행정권한의 위임에 관한 조례
"계셨다면, 알잖아요. 헌법 117조 조례"
 바 있습니다만 교육경비보조에 관한 조례
도와주셔야 될 것 같습니다. 사실은 조례
조례 개정 전에 0.4% 이내였는데 조례
내였는데 조례 개정해서 0.6%인데 조례
데 서울특별시 교육경비 보조에 관한 조례
 교육경비 보조에 관한 조례 일부개정조례
교육국장을 갖다가 위원장으로 하게끔 조례
다시 한번 잘 살펴주시기 바랍니다. 조례
있습니다만 여러 가지 문제가 있고요 조례
 지적했습니다만 그나마 많이 축소된 조례
시의회 행정사무감사 및 조사에 관한 조례
육감 소속 지방공무원 겸임수당 지급 조례
" 되겠다, 저도 이번에 끝나고 나면 조례"
업무추진비 집행기준 및 공개에 관한 조례
부분들이 꽤 있습니다. 그리고 사실 조례
 말씀을 드리겠습니다. 네. 여하튼 조례
대해서는 시정 또는 환수ㆍ징계하도록 조례
육청 공익제보 지원 및 보호에 관한 조례
 혹시 우리 서울특별시 행정사무감사 조례
 그런데 서울특별시의회 행정사무감사 조례
시의회 행정사무감사 및 조사에 관한 조례
 아마 여러 가지 우리 법령이라든가 조례
도 있죠? 현재 29개인데 법령이나 조례
 가이드라인을 만들거나 정 안 되면 조례
 9월 26일 장학생 선발 및 관리 조례
"정이, 시행했지요? 네. 본 위원이 조례"
교육청 장학생 선발 및 관리에 관한 조례
분이 있나요? 교육경비 보조에 관한 조례
"교육경비 보조에 관한 조례, 서울시 조례"
" 관한 조례, 서울시 조례입니다 그 조례"
을 5년으로 하려는 의지가 확고해서 조례
렇게 오히려 실장님이 지키려고 했던 조례
시의회 행정사무감사 및 조사에 관한 조례
시의회 행정사무감사 및 조사에 관한 조례
 기본적으로 시설 개방이라든가 관련 조례
" 교육과 관련한 서울시의 규칙제정, 조례"
십시오. 집행부를 견제하고 감시하고 조례
특별시교육감 행정권한의 위임에 관한 조례
속기관장에게 위임할 사항을 규정하는 조례
육감 소속 지방공무원 겸임수당 지급 조례
. 그렇지요? 네. 그래서 제가 그 조례
요. 사실 지방공무원 겸임수당 지급 조례
"급 가능, 불가능을 떠나서 이 지급 조례"
에 대한 겸임수당을 주기 위해서 이 조례
당하게 주기 위해서? 아닌가요? 그 조례
"리고, 협동조합형 공영형유치원 지원 조례"
 알고 있어요. 비용 지원 사업 및 조례
시의회 행정사무감사 및 조사에 관한 조례
고요. 협동조합형 공영형유치원 지원 조례
있거든요. 물론 협동조합형만의 지원 조례
런데 기존에 공영형유치원 관련 지원 조례
? 그 속에 협동조합형 유치원 지원 조례
 설립비용 지원사업 이 부분이 현재 조례
이 이야기하는 것은 협동조합형 지원 조례
 것이 아니라 그것이 힘들다면 기존 조례
겁니다. 먼저 공영형 관련으로 아직 조례
보니까 그 추진상에 어려움이 있어서 조례
생각하고 있는 단계에 있고 가능하면 조례
", 그리고 과장님도 아시다시피 지원 조례"
진 자체가 힘들기 때문에 빨리 관련 조례
" 이 협동조합형 유치원, 아까 관련 조례"
 말씀드립니다. 왜 그런고 하면 이 조례
 머리를 맞대고 같이 고민을 해야만 조례
을 해야만 조례가 만들어지는 것이고 조례
려운 입장에 있습니다. 최소한 지원 조례
가 들었기 때문에 그래도 기존 관련 조례
"고 함께, 우리가 보통 기존에 메인 조례"
요. 이 공무국외연수 규정에 의하고 조례
면 그렇게 총액으로만 제출하실 거면 조례
시의회 행정사무감사 및 조사에 관한 조례
시의회 행정사무감사 및 조사에 관한 조례
때는 서울특별시교육청 행정기구 설치 조례
 전에 서울특별시 대안교육기관 지원 조례
쳐야 한다면 법을 같이 고치자고요. 조례
면 저희가 통과시키면 되는 거고요. 조례
을 말씀드리고 2008년부터 서울시 조례
" 들어갑니다. 학원 심야교습 금지, 조례"
입니다. 이것은 내년에 서울시 학원 조례
17년에 법제처 유권해석을 의뢰해서 조례
기까지도 나오고 또 저희들이 결국은 조례
까지 시간제한을 하는 것에 대해서는 조례
기타 특히 법으로서 제한하지 않으면 조례
드리면. 상위법이 있어야 하위법으로 조례
