서울특별시의회 회의록 제277회[정례회] (2017.11.01 ~ 2017.12.20)
"시하고, 이후 2018년도 예산안과 조례"
특별시 행정사무감사 및 조사에 관한 조례
특별시 행정사무감사 및 조사에 관한 조례
 밖 아이들에 대해서 관심을 가지고 조례
부에서도 공문이 내려왔고 저희도 인권조례
한 거라고 보거든요. 그러면 민간위탁조례
 것으로 알았는데 바로 내일이네요. 조례
가 있다고 합니다. 그런데 학생인권 조례
 제가 말씀드리고 싶은 게 그것인데 조례
"가하고, 그런데 학생인권종합계획이나 조례"
특별시 행정사무감사 및 조사에 관한 조례
지원 보호조치를 강화하기 위해 관련 조례
 되었습니다. 아울러 지방공무원 복무조례
32명이 5급 이상이 늘었는데 정원 조례
특별시 행정사무감사 및 조사에 관한 조례
"습니다. 담당관님, 아마 법적으로나 조례"
에 왔습니다. 그러면 4월 26일에 조례
실상은 이 시행령이 바뀌고 그다음에 조례
"의견을 들을 수 있다가 시행령이고, 조례"
년도에 처음 나간 거고요. 학부모회 조례
특별시 행정사무감사 및 조사에 관한 조례
특별시 행정사무감사 및 조사에 관한 조례
해 주신 서울시교육청 행정기구 설치 조례
 서울시교육감 소속 지방공무원 정원 조례
 그러면 출연기관 운영에 관한 개별 조례
되거든요. 상록과학재단 운영에 관한 조례
"재는 없습니다. 현재도 없고, 그게 조례"
다. 출연기관 운영에 관한 법률 및 조례
석하였다고 판단되는 경우 관계법령과 조례
특별시 행정사무감사 및 조사에 관한 조례
"부분이기 때문에, 아시겠지만 저희가 조례"
 상벌규정이 따로 있잖아요. 아니면 조례
특별시 행정사무감사 및 조사에 관한 조례
특별시 행정사무감사 및 조사에 관한 조례
도 다양한 분들이 계시고 통상적으로 조례
발을 하고 있기 때문에……. 여기도 조례
줄이자 줄이자 하면서 이런 법률이나 조례
 있습니다. 여기에 대해서도 우리가 조례
을 어떻게 하라는 것이 없기 때문에 조례
 수도 있어요. 상급기관에 의뢰해서 조례
겠느냐 하는 얘기를 충분히 검토해서 조례
울상록과학학술재단 설립 운영에 관한 조례
시교육비특별회계 소관 공유재산 관리 조례
고 2012년도부터는 공유재산 관리 조례
졌고 그 법에 의해서 해당 자치단체 조례
할 경우 보조금 지급에 관한 법률과 조례
"에 관한 법률에 의해서, 또는 동법 조례"
오셨는데 저희 서울시교육청 진로교육 조례
 그런데 2017년 1월부터 화장실 조례
 여기에서 세종시교육청 화장실 관리 조례
광고를 방지하기 위해 법령 개정이나 조례
거 없는 임의출연기관은 관련 법률과 조례
장을 보더라도 굉장히 금액이 낮아서 조례
"조례를 개정해서 올렸습니다, 제가. 조례"
서 편차가 있을 테니까 받도록 하는 조례
만요. 수익률이 우리는 2015년에 조례
 없는지 한번 파악해 보세요. 그때 조례
"영해 보면 좋지 않을까, 관련 이런 조례"
지금 현재는 내려온 것은 없습니다. 조례
 없습니다. 조례를 제정하든가 기존 조례
서. 특히 이것을 뒷받침할 수 있는 조례
례도 제정되어 있어서 본격적으로 그 조례
하는 내용이고요. 그 내용은 위원님 조례
특별시 행정사무감사 및 조사에 관한 조례
특별시 행정사무감사 및 조사에 관한 조례
 거 같습니다. 그래도 위원님들께서 조례
으로 체벌은 그 지방뿐만 아니라 인권조례
" 몇 명이, 그런데 이게 서울시에서 조례"
데 그 중에서 13개 유치원은 이미 조례
 나머지 2개 원 같은 경우는 현재 조례
" 대한 규정이 없지요, 규칙도 없고 조례"
니다. 어쨌든 방과후 학교와 관련한 조례
계가 첨예하게 다르기 때문에 사실은 조례
고 그리고 현재 김생환 위원장님께서 조례
"도 존중 받아야 되고, 특히 학생인권조례"
으면 좋겠어요. 제가 ′15년도인가 조례
내일 서울시교육청 민주시민교육 진흥 조례
데 우리 교육청의 민주시민교육 진흥 조례
니다. 서울시에도 민주시민교육 지원 조례
민이면 다 받을 수 있도록 하는 기본조례
라 교육청 관련된 민주시민교육 지원 조례
" 민주시민교육 지원 조례예요, 진흥 조례"
해서 제도가 필요하면 제도를 만들고 조례
하면 제도를 만들고 조례가 필요하면 조례
이 되고요. 그런 면에서 이미 있는 조례
"는 조례 그리고 그런 검토, 새로운 조례"
"그런 검토, 새로운 조례가 필요하면 조례"
실에서 서울특별시교육청 민주시민교육 조례
