회수,발언자,발언수,위원구분
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,47,교육청
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,44,교육청
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,40,교육청
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,39,교육청
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,38,교육청
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,38,교육청
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,33,교육청
제298회[정례회](2020.11.02 ~ 2020.12.22),체육건강문화예술과장 조용훈,19,교육청
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,16,교육청
제298회[정례회](2020.11.02 ~ 2020.12.22),학교안전공제회이사장 김형배,11,교육청
제298회[정례회](2020.11.02 ~ 2020.12.22),학생교육원장 이종탁,9,교육청
제298회[정례회](2020.11.02 ~ 2020.12.22),대변인 성현석,9,교육청
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,8,교육청
제298회[정례회](2020.11.02 ~ 2020.12.22),참여협력담당관 강연실,7,교육청
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,7,교육청
제298회[정례회](2020.11.02 ~ 2020.12.22),교육재정과장 김정애,6,교육청
제298회[정례회](2020.11.02 ~ 2020.12.22),교육혁신과장 양영식,6,교육청
제298회[정례회](2020.11.02 ~ 2020.12.22),마포평생학습관장 김원식,4,교육청
제298회[정례회](2020.11.02 ~ 2020.12.22),행정관리담당관 김중락,3,교육청
제298회[정례회](2020.11.02 ~ 2020.12.22),동대문도서관장 오세규,2,교육청
제298회[정례회](2020.11.02 ~ 2020.12.22),학생체육관장 선우순애,1,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,831,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),위원장 장인홍,795,위원
제290회[정례회] (2019.11.01 ~ 2019.12.20),권순선 위원,720,위원
제290회[정례회] (2019.11.01 ~ 2019.12.20),장상기 위원,656,위원
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,640,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),김경 위원,635,위원
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,589,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),채유미 위원,587,위원
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,529,위원
제290회[정례회] (2019.11.01 ~ 2019.12.20),황인구 위원,514,위원
제290회[정례회] (2019.11.01 ~ 2019.12.20),최선 위원,504,위원
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육감 조희연,455,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),양민규 위원,356,위원
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,319,위원
제290회[정례회] (2019.11.01 ~ 2019.12.20),김수규 위원,280,위원
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,262,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,242,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),감사관 이민종,239,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,216,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,212,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,207,위원
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,175,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),총무과장 이연주,131,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),전병주 위원,130,위원
제290회[정례회] (2019.11.01 ~ 2019.12.20),초등교육과장 민계홍,120,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,106,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,98,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,97,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,95,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,82,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,79,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,76,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,75,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,70,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,69,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,65,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,62,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,57,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,50,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,44,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,43,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,36,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,35,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,34,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,32,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,28,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생교육원장 손창호,23,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,23,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,18,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),행정관리담당관 김중락,14,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,14,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육혁신과장 이종탁,10,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),진로직업교육과장 신승인,10,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,10,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),정책·안전기획관 한민호,10,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),북부교육지원청교육장 선종복,8,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),강서양천교육지원청교육장 심금순,8,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,6,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,6,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),중부교육지원청교육장 전병화,4,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),서부교육지원청교육장 유재준,3,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),수석전문위원 김창범,2,위원
제290회[정례회] (2019.11.01 ~ 2019.12.20),예산담당관 오동훈,1,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,1,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육지원국장 성철,1,교육청
제290회[정례회] (2019.11.01 ~ 2019.12.20),강남서초교육지원청교육장 이윤복,1,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,1020,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),황인구 위원,817,위원
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,792,위원
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,684,위원
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,653,위원
제284회[정례회] (2018.11.01 ~ 2018.12.20),조상호 위원,643,위원
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,591,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,560,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),최기찬 위원,422,위원
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,409,위원
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,389,위원
제284회[정례회] (2018.11.01 ~ 2018.12.20),기획조정실장 권성연,385,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,355,위원
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,347,위원
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,325,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),부교육감 김원찬,265,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,262,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),여명 위원,256,위원
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,255,위원
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,167,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,152,위원
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,124,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,121,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,109,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,100,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,96,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,95,외부
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,95,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,91,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,90,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,84,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,84,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,80,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,69,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육진흥원장 권미애,65,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,60,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,59,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,56,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),대변인 김현철,55,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,50,외부
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,44,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,39,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,38,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,38,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육연구정보원장 이재근,29,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,28,외부
제284회[정례회] (2018.11.01 ~ 2018.12.20),참여협력담당관 양희두,28,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생체육관장 이정순,22,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,22,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교안전공제회사무국장 이무수,21,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,21,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,21,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,18,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교안전공제회이사장 김형태,16,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),노사협력담당관 김양주,16,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),탑건축사사무소대표 전희,14,외부
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육연수원장 이혜련,13,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),마포평생학습관장 정재헌,12,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,8,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,8,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,5,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,3,외부
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육지원국장 홍민표,1,교육청
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,1,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),장인홍 위원,814,위원
제277회[정례회] (2017.11.01 ~ 2017.12.20),김경자 위원,697,위원
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정책국장 윤오영,552,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),강성언 위원,448,위원
제277회[정례회] (2017.11.01 ~ 2017.12.20),박기열 위원,383,위원
제277회[정례회] (2017.11.01 ~ 2017.12.20),서울미술고등학교행정실장 정호영,354,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생진로교육국장 박혜자,314,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),김동욱 위원,309,위원
제277회[정례회] (2017.11.01 ~ 2017.12.20),송재형 위원,309,위원
제277회[정례회] (2017.11.01 ~ 2017.12.20),강구덕 위원,278,위원
제277회[정례회] (2017.11.01 ~ 2017.12.20),문형주 위원,255,위원
제277회[정례회] (2017.11.01 ~ 2017.12.20),부교육감직무대리 정병익,254,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),감사관 이민종,252,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육감 조희연,232,교육청
