회의록구분,대수,회의구분,위원회,회수,피감사기관,회의일자,발언자,발언순번,발언내용,기관구분
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,허기회 위원,3677,"국장님, 지금 학교에서 그런가요, 모든 학교가? 교장선생님이나 거기에서 예산을 정확하게 하는가요, 아니면 행정실장이 다루나요?",위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,교육행정국장 백종대,3678,"회계책임은 각각 다르고요. 기본적으로 학교 예산은 학교운영위원회를 통해서 예산이 확정되고 또 지출의 부분은 경리관 업무는 학교장이, 지출업무는 행정실장이 이렇게 분리되어서 흘러가고 있습니다.",교육행정국장
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,허기회 위원,3679,"실장님이 지금 무슨 말씀을 하는지 제가 아는데요, 여기 나오셨기 때문에, 나중에 정확하게 수사결과에 나올 것입니다. 그래서 정확하게 이사장이든 교장선생님이든 이사진이든 그런 부당압력은 없었는데 지출하셨다는 거지요?",위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,서울미술고등학교행정실장 정호영,3680,그렇게 말씀하시면 제가 말씀드리기가 좀 곤란하다는 똑같은 얘기를 드릴 수밖에 없습니다.,서울미술고등학교행정실장
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,허기회 위원,3681,"여기서 소명을 정확히 하세요, 이 자리가 소명할 수도 있는 자리니까.",위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,서울미술고등학교행정실장 정호영,3682,그런 말씀을 답하기가 쉽지 않습니다. 그렇게 말씀드리겠습니다.,서울미술고등학교행정실장
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,허기회 위원,3683,그래요?,위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,서울미술고등학교행정실장 정호영,3684,네.,서울미술고등학교행정실장
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,허기회 위원,3685,하여튼 알겠습니다. 검찰결과까지 기다려야 되는 거잖아요?,위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,서울미술고등학교행정실장 정호영,3686,"네, 그래야지 아마 정리가 되지 않을까 싶습니다, 전체적으로 봐서.",서울미술고등학교행정실장
